id;tipo;id_doc;id_prod;cantidad;us_crea;date_crea
523;ENT;87;5188;4;1;2016-11-18
524;ENT;87;5237;5;1;2016-11-18
525;ENT;87;5239;16;1;2016-11-18
526;ENT;87;5238;4;1;2016-11-18
527;ENT;87;5241;2;1;2016-11-18
528;ENT;87;5240;4;1;2016-11-18
529;ENT;87;5242;2;1;2016-11-18
530;ENT;87;5243;2;1;2016-11-18
531;ENT;87;5244;2;1;2016-11-18
532;ENT;87;5245;4;1;2016-11-18
533;ENT;87;5247;2;1;2016-11-18
534;ENT;87;5246;4;1;2016-11-18
535;ENT;118;5275;3;1;2016-11-21
536;ENT;118;5280;6;1;2016-11-21
537;ENT;118;5279;6;1;2016-11-21
538;ENT;118;5281;6;1;2016-11-21
539;ENT;118;5242;3;1;2016-11-21
540;ENT;118;5244;6;1;2016-11-21
541;ENT;118;5245;6;1;2016-11-21
542;ENT;118;5243;3;1;2016-11-21
543;ENT;118;5246;6;1;2016-11-21
544;ENT;118;5295;3;1;2016-11-21
545;ENT;118;5267;3;1;2016-11-21
546;ENT;118;5268;3;1;2016-11-21
547;ENT;118;5297;3;1;2016-11-21
548;ENT;118;5265;3;1;2016-11-21
549;ENT;118;5259;3;1;2016-11-21
550;ENT;118;5178;1;1;2016-11-21
551;ENT;118;4514;1;1;2016-11-21
552;ENT;118;5035;1;1;2016-11-21
553;ENT;118;5200;126;1;2016-11-21
554;ENT;118;5134;18;1;2016-11-21
555;ENT;118;5057;3;1;2016-11-21
556;ENT;118;4997;90;1;2016-11-21
557;ENT;118;4519;1;1;2016-11-21
558;ENT;118;5264;3;1;2016-11-21
559;ENT;118;2434;1;1;2016-11-21
560;ENT;118;5042;1;1;2016-11-21
561;ENT;118;5043;1;1;2016-11-21
562;ENT;118;4497;15;1;2016-11-21
563;ENT;118;4502;9;1;2016-11-21
564;ENT;118;4505;15;1;2016-11-21
565;ENT;118;5052;1;1;2016-11-21
566;ENT;118;2439;2;1;2016-11-21
567;ENT;118;4511;1;1;2016-11-21
568;ENT;118;5050;1;1;2016-11-21
569;ENT;118;5089;2;1;2016-11-21
570;ENT;118;2456;4;1;2016-11-21
571;ENT;118;2427;1;1;2016-11-21
572;ENT;118;2428;1;1;2016-11-21
573;ENT;118;5311;2;1;2016-11-21
574;ENT;118;5015;6;1;2016-11-21
575;ENT;118;4397;1;1;2016-11-21
576;ENT;118;2946;2;1;2016-11-21
577;ENT;118;5223;2;1;2016-11-21
578;ENT;118;4498;12;1;2016-11-21
579;ENT;118;5041;3;1;2016-11-21
580;ENT;118;5093;2;1;2016-11-21
581;ENT;118;2399;1;1;2016-11-21
582;ENT;118;4709;2;1;2016-11-21
583;ENT;118;5288;6;1;2016-11-21
584;ENT;118;5314;2;1;2016-11-21
585;ENT;118;4605;2;1;2016-11-21
586;ENT;118;4536;4;1;2016-11-21
587;ENT;118;5054;1;1;2016-11-21
588;ENT;118;2481;2;1;2016-11-21
589;ENT;118;5033;5;1;2016-11-21
590;ENT;118;5055;1;1;2016-11-21
591;ENT;118;2435;1;1;2016-11-21
592;ENT;118;4417;2;1;2016-11-21
593;ENT;118;5291;3;1;2016-11-21
594;ENT;118;5298;3;1;2016-11-21
595;ENT;118;5285;10;1;2016-11-21
596;ENT;118;5308;10;1;2016-11-21
597;ENT;118;5294;10;1;2016-11-21
598;ENT;118;2355;10;1;2016-11-21
599;ENT;118;5273;10;1;2016-11-21
600;ENT;118;5286;10;1;2016-11-21
601;ENT;118;2319;10;1;2016-11-21
602;ENT;118;5274;10;1;2016-11-21
603;ENT;118;5293;10;1;2016-11-21
604;ENT;118;5272;10;1;2016-11-21
605;ENT;118;5309;10;1;2016-11-21
606;ENT;118;5264;10;1;2016-11-21
607;ENT;118;5284;10;1;2016-11-21
608;ENT;118;5256;4;1;2016-11-21
609;ENT;118;5254;4;1;2016-11-21
610;ENT;118;5263;13;1;2016-11-21
611;ENT;118;5255;6;1;2016-11-21
612;ENT;118;5303;3;1;2016-11-21
613;ENT;118;4526;1;1;2016-11-21
614;ENT;118;5257;2;1;2016-11-21
615;ENT;118;5196;6;1;2016-11-21
616;ENT;118;5194;3;1;2016-11-21
617;ENT;118;4705;1;1;2016-11-21
618;ENT;118;2338;1;1;2016-11-21
619;ENT;118;5287;3;1;2016-11-21
620;ENT;118;4645;1;1;2016-11-21
621;ENT;118;5318;6;1;2016-11-21
622;ENT;118;5190;6;1;2016-11-21
623;ENT;118;5300;3;1;2016-11-21
624;ENT;118;4652;1;1;2016-11-21
625;ENT;118;4500;10;1;2016-11-21
626;ENT;118;4503;10;1;2016-11-21
627;ENT;118;4617;1;1;2016-11-21
628;ENT;118;4614;1;1;2016-11-21
629;ENT;118;4501;10;1;2016-11-21
