id;procedencia;id_at;designacion;ref;SAP;id_prod;medida;us_crea;date_crea;us_modif;date_modif
138;,;1;Tuerca hexagonal DIN934-M18-A2-70;DIN934-M18-A2;;1516;Ud;1;2015-05-12;0;0000-00-00
139;,;1;Tuerca hexagonal DIN934-M6-A2-70;DIN934-M6-A2;;4863;Ud;1;2015-05-12;0;0000-00-00
140;,;1;Hilo de contacto ECu de sección ovalada BF-150mm2;HC-ECu-BF150;;1375;Mts;1;2015-05-12;0;0000-00-00
141;,;1;Anclaje HILTI con rosca exterior HSA-F-M12x100/5/25;HSA-F-M12x100;;2495;Ud;1;2015-05-12;0;0000-00-00
142;,;1;Pletina de Cu de 100x10, L=1240mm, para placas de negativos;D.0252-SSA-J4211-C002;;4202;Ud;1;2015-05-12;0;0000-00-00
143;,;1;Pletina de Cu de 100x10, L=800mm2 , para placas de positivos;D.S252-SSA-J4211-C001;;1403;Ud;1;2015-05-12;0;0000-00-00
144;,;1;Cartela de suspensión regulable, e=8mm;D.0252-SSA-J4211-S001;;1312;Ud;1;2015-05-12;0;0000-00-00
145;,;1;Unión entre soportes longitudinales de estación;J4211-S004;;1536;Ud;1;2015-05-12;0;0000-00-00
146;,;1;Soporte giratorio normal;J4215-S001;;1371;Ud;1;2015-05-12;0;0000-00-00
147;,;1;Placa de arriostramiento 250x150, e=10mm;J4215-S002;;1534;Ud;1;2015-05-12;0;0000-00-00
148;,;1;Ángulo inferior de ménsula L70x6, L=800mm;D.0252-SSA-J4221-S001;;1372;Ud;1;2015-05-12;0;0000-00-00
149;,;1;Ángulo superior de ménsula, L70x6, L=800mm;J4221-S002;;1374;Ud;1;2015-05-12;0;0000-00-00
150;,;1;ángulo para la fijación de soporte L100x10 sobre viga longitudinal, L=295mm;J4221-S005;;4203;Ud;1;2015-05-12;0;0000-00-00
151;,;1;Perfil en L100x100, L=80mm2 para fijación de placa;MS-CAT-HIE-0018;;1439;Ud;1;2015-05-12;0;0000-00-00
152;,;1;Perfil UPN100 para ménsula, tipo A;J4231-S001-A;;4205;Ud;1;2015-05-12;0;0000-00-00
153;,;1;Perfil UPN para ménsula, tipo B;J4231-S001-B;;4206;Ud;1;2015-05-12;0;0000-00-00
154;,;1;Perfil UPN para ménsula, tipo C;J4231-S001-C;;1239;Ud;1;2015-05-12;0;0000-00-00
155;,;1;Perfil UPN100 para ménsula, H>1,50m, tipo A, L=800mm2;J4235-S001-A;;1413;Ud;1;2015-05-12;0;0000-00-00
156;,;1;Perfil UPN100 para ménsula, H>1,50m, tipo B, L=1000mm2;J4235-S001-B;;4207;Ud;1;2015-05-12;0;0000-00-00
157;,;1;Perfil UPN100 para ménsula, H>1,50m, tipo C, L=1250mm2;J4235-S001-C;;1416;Ud;1;2015-05-12;0;0000-00-00
158;,;1;Perfil UPN100 para ménsula, H>1,50m, tipo D, L=1500mm2;J4235-S001-D;;1419;Ud;1;2015-05-12;0;0000-00-00
159;,;1;Perfil UPN100 para ménsula, H>1,50m, tipo E, L=1700mm2;J4235-S001-E;;1421;Ud;1;2015-05-12;0;0000-00-00
160;,;1;Perfil UPN100 para ménsula, H>1,50m, tipo F, L=2000mm2;J4235-S001-F;;1423;Ud;1;2015-05-12;0;0000-00-00
161;,;1;Perfil UPN100 para ménsula, H>1,50m, tipo G, L=2200mm2;J4235-S001-G;;1424;Ud;1;2015-05-12;0;0000-00-00
162;,;1;Perfil UPN100 para ménsula, H>1,50m, tipo H, L=2400mm2;J4235-S001-H;;1425;Ud;1;2015-05-12;0;0000-00-00
163;,;1;Perfil UPN100 para ménsula, H>1,50m, tipo I, L=2600;J4235-S001-I;;1426;Ud;1;2015-05-12;0;0000-00-00
164;,;1;Perfil UPN100 para ménsula, H>1,50m, tipo J, L=2800mm2;J4235-S001-J;;4208;Ud;1;2015-05-12;0;0000-00-00
