id_prod;image;us_crea;date_crea
4382;ID=4382 .JPG;1;2015-08-31
4383;ID=4383 .JPG;1;2015-08-31
4385;ID=4385 .JPG;1;2015-08-31
4386;ID=4386, .JPG;2;0000-00-00 00:00:00
4389;ID=4389 .JPG;2;0000-00-00 00:00:00
4394;ID=4394.JPG;1;2015-08-27
4395;ID=4395.JPG;1;2015-08-27
4396;ID=4396.JPG;1;2015-08-27
4397;ID=4397.JPG;1;2015-08-27
4398;ID=4398, 100x35 mm .JPG;2;0000-00-00 00:00:00
4399;ID=4399, 200x35 mm .JPG;2;0000-00-00 00:00:00
4400;ID=4400, 300x35 mm .JPG;2;0000-00-00 00:00:00
4401;ID=4401, 400x60 mm .JPG;2;0000-00-00 00:00:00
4402;ID=4402, 500x60 mm  (2).JPG;2;0000-00-00 00:00:00
4403;ID=4403, 600x60 mm .JPG;2;0000-00-00 00:00:00
4404;ID=4404, 100x60 mm  - copia.JPG;2;0000-00-00 00:00:00
4405;ID=4405, 200x60 mm .JPG;2;0000-00-00 00:00:00
4408;ID=4408, .JPG;1;2015-09-02
4409;ID=4409, .JPG;1;2015-09-02
4417;ID=4417.JPG;2;0000-00-00 00:00:00
4418;ID=4418 .JPG;1;2015-09-17
4419;ID=4419,TX150T.JPG;2;0000-00-00 00:00:00
4421;ID=4421 .JPG;1;2015-09-17
4422;ID=4422 .JPG;1;2015-08-31
4429;ID=4429, .JPG;1;2015-10-28
4432;ID=4432, .JPG;1;2015-09-02
4435;ID=4435.JPG;1;2015-08-26
4443;ID=4443, 7SJ6225-4EE92-1FE0 L0A.JPG;2;2016-03-11
